iata,airport,country,city,state,lat,long
00M,Thigpen,USA,Bay Springs,MS,31.9537647,-89.234505
00R,Livingston Municipal,USA,Livingston,TX,30.6858611,-95.017928
00V,Meadow Lake,USA,Colorado Springs,CO,38.9457489,-104.56989
01G,Perry-Warsaw,USA,Perry,NY,42.7413467,-78.052081
01J,Hilliard Airpark,USA,Hilliard,FL,30.6880125,-81.905944
01M,Tishomingo County,USA,Belmont,MS,34.4916667,-88.201111
02A,Gragg-Wade,USA,Clanton,AL,32.8504867,-86.611453
02C,Capitol,USA,Brookfield,WI,43.08751,-88.177869
02G,Columbiana County,USA,East Liverpool,OH,40.6733128,-80.641406
03D,Memphis Memorial,USA,Memphis,MO,40.4472589,-92.226961
04M,Calhoun County,USA,Pittsboro,MS,33.9301122,-89.342852
04Y,Hawley Municipal,USA,Hawley,MN,46.8838489,-96.350899
05C,Griffith-Merrillville,USA,Griffith,IN,41.5196192,-87.401093
05F,Gatesville - City/County,USA,Gatesville,TX,31.4212756,-97.796968
05U,Eureka,USA,Eureka,NV,39.6041667,-116.00506
06A,Moton Municipal,USA,Tuskegee,AL,32.4604717,-85.680036
06C,Schaumburg,USA,Chicago/Schaumburg,IL,41.9893408,-88.101243
06D,Rolla Municipal,USA,Rolla,ND,48.8843411,-99.620877
06M,Eupora Municipal,USA,Eupora,MS,33.5345658,-89.312569
06N,Randall,USA,Middletown,NY,41.4315658,-74.391917
06U,Jackpot/Hayden,USA,Jackpot,NV,41.9760222,-114.65809
07C,Dekalb County,USA,Auburn,IN,41.3071667,-85.064333
07F,Gladewater Municipal,USA,Gladewater,TX,32.5288386,-94.971746
07G,Fitch H Beach,USA,Charlotte,MI,42.5745086,-84.811431
07K,Central City Municipal,USA,Central City,NE,41.1166806,-98.050336
08A,Wetumpka Municipal,USA,Wetumpka,AL,32.5294394,-86.328221
08D,Stanley Municipal,USA,Stanley,ND,48.3007986,-102.40635
08K,Harvard State,USA,Harvard,NE,40.6513853,-98.079787
08M,Carthage-Leake County,USA,Carthage,MS,32.7612461,-89.530071
09A,Butler-Choctaw County,USA,Butler,AL,32.1193131,-88.127463
09J,Jekyll Island,USA,Jekyll Island,GA,31.0744722,-81.427778
09K,Sargent Municipal,USA,Sargent,NE,41.6369508,-99.340381
09M,Charleston Municipal,USA,Charleston,MS,33.9915022,-90.078145
09W,South Capitol Street,USA,Washington,DC,38.8687233,-77.007476
0A3,Smithville Municipal,USA,Smithville,TN,35.9853119,-85.809318
0A8,Bibb County,USA,Centreville,AL,32.9367906,-87.088883
0A9,Elizabethton Municipal,USA,Elizabethton,TN,36.3709431,-82.173741
0AK,Pilot Station,USA,Pilot Station,AK,61.9339642,-162.89294
0B1,Col. Dyke,USA,Bethel,ME,44.4250644,-70.807848
0B4,Hartington Municipal,USA,Hartington,NE,42.6035556,-97.252639
0B5,Turners Falls,USA,Montague,MA,42.5913636,-72.522755
