DepDelay,ArrDelay,CarrierDelay,WeatherDelay,LateAircraftDelay,NASDelay,SecurityDelay,Delay_ID
100,88,0,88,0,0,0,0
0,-1,0,0,0,0,0,0
6,2,0,0,0,0,0,0
0,10,0,0,0,0,0,0
46,30,0,0,30,0,0,0
7,-4,0,0,0,0,0,0
295,277,277,0,0,0,0,0
0,-24,0,0,0,0,0,0
0,-20,0,0,0,0,0,0
91,87,87,0,0,0,0,0
44,49,0,49,0,0,0,0
69,57,57,0,0,0,0,0
-5,-15,0,0,0,0,0,0
-8,-11,0,0,0,0,0,0
-4,21,0,0,21,0,0,0
-4,-14,0,0,0,0,0,0
1,-7,0,0,0,0,0,0
150,176,0,0,0,176,0,0
0,-36,0,0,0,0,0,0
-7,-16,0,0,0,0,0,0
21,17,17,0,0,0,0,0
88,92,88,0,0,4,0,0
0,-6,0,0,0,0,0,0
0,-16,0,0,0,0,0,0
-1,12,0,0,0,0,0,0
-1,-14,0,0,0,0,0,0
-1,-15,0,0,0,0,0,0
0,5,0,0,0,0,0,0
8,-7,0,0,0,0,0,0
-4,-17,0,0,0,0,0,0
35,17,17,0,0,0,0,0
-3,-6,0,0,0,0,0,0
-3,-14,0,0,0,0,0,0
205,205,0,0,0,205,0,0
26,16,16,0,0,0,0,0
46,36,0,36,0,0,0,0
0,17,0,0,0,17,0,0
0,19,0,0,0,19,0,0
20,17,0,17,0,0,0,0
0,2,0,0,0,0,0,0
40,35,0,35,0,0,0,0
-7,-10,0,0,0,0,0,0
20,49,0,0,20,29,0,0
33,26,26,0,0,0,0,0
10,5,0,0,0,0,0,0
0,-7,0,0,0,0,0,0
1,-8,0,0,0,0,0,0
11,3,0,0,0,0,0,0
-4,-1,0,0,0,0,0,0
-5,-14,0,0,0,0,0,0
19,15,15,0,0,0,0,0
0,-19,0,0,0,0,0,0
98,104,0,0,0,104,0,0
-6,-7,0,0,0,0,0,0
157,173,42,115,0,16,0,0
15,1,0,0,0,0,0,0
9,-1,0,0,0,0,0,0
0,-21,0,0,0,0,0,0
94,67,0,0,32,35,0,0
0,9,0,0,0,0,0,0
26,13,0,0,0,0,0,0
0,-12,0,0,0,0,0,0
520,507,507,0,0,0,0,0
25,27,0,25,0,2,0,0
-4,11,0,0,0,0,0,0
1,0,0,0,0,0,0,0
-1,-11,0,0,0,0,0,0
79,77,0,0,77,0,0,0
68,64,17,0,47,0,0,0
-5,3,0,0,0,0,0,0
20,17,2,0,15,0,0,0
0,-8,0,0,0,0,0,0
-3,-10,0,0,0,0,0,0
2,-2,0,0,0,0,0,0
13,7,0,0,0,0,0,0
25,-2,0,0,0,0,0,0
53,51,0,0,47,4,0,0
-2,-4,0,0,0,0,0,0
1,-6,0,0,0,0,0,0
0,3,0,0,0,0,0,0
-2,-21,0,0,0,0,0,0
54,38,8,0,30,0,0,0
-1,-10,0,0,0,0,0,0
-1,-9,0,0,0,0,0,0
40,53,5,0,35,13,0,0
41,36,2,0,34,0,0,0
3,-4,0,0,0,0,0,0
22,24,8,0,14,2,0,0
108,105,6,0,99,0,0,0
