tailnum,manufacturer,issue_date,model,status,aircraft_type,engine_type
N10156,EMBRAER,2004-02-13,EMB-145XR,1,Fixed Wing Multi-Engine,Turbo-Fan
N102UW,AIRBUS INDUSTRIE,1999-05-26,A320-214,1,Fixed Wing Multi-Engine,Turbo-Fan
N10323,BOEING,1997-07-01,737-3TO,1,Fixed Wing Multi-Engine,Turbo-Jet
N103US,AIRBUS INDUSTRIE,1999-06-18,A320-214,1,Fixed Wing Multi-Engine,Turbo-Fan
N104UA,BOEING,1998-01-26,747-422,1,Fixed Wing Multi-Engine,Turbo-Fan
N104UW,AIRBUS INDUSTRIE,1999-07-02,A320-214,1,Fixed Wing Multi-Engine,Turbo-Fan
N10575,EMBRAER,2003-06-24,EMB-145LR,1,Fixed Wing Multi-Engine,Turbo-Fan
N105UA,BOEING,2007-10-15,747-451,1,Fixed Wing Multi-Engine,Turbo-Jet
N105UW,AIRBUS INDUSTRIE,1999-07-22,A320-214,1,Fixed Wing Multi-Engine,Turbo-Fan
N106US,AIRBUS INDUSTRIE,1999-08-05,A320-214,1,Fixed Wing Multi-Engine,Turbo-Fan
N107UA,BOEING,1998-08-24,747-422,1,Fixed Wing Multi-Engine,Turbo-Fan
N107US,AIRBUS INDUSTRIE,1999-08-17,A320-214,1,Fixed Wing Multi-Engine,Turbo-Fan
N108UW,AIRBUS INDUSTRIE,1999-09-03,A320-214,1,Fixed Wing Multi-Engine,Turbo-Fan
N109UW,AIRBUS INDUSTRIE,1999-09-10,A320-214,1,Fixed Wing Multi-Engine,Turbo-Fan
N110UW,AIRBUS INDUSTRIE,1999-11-22,A320-214,1,Fixed Wing Multi-Engine,Turbo-Fan
N11106,EMBRAER,2003-06-25,EMB-145XR,1,Fixed Wing Multi-Engine,Turbo-Fan
N11107,EMBRAER,2003-06-25,EMB-145XR,1,Fixed Wing Multi-Engine,Turbo-Fan
N11109,EMBRAER,2003-06-25,EMB-145XR,1,Fixed Wing Multi-Engine,Turbo-Fan
N11113,EMBRAER,2003-06-25,EMB-145XR,1,Fixed Wing Multi-Engine,Turbo-Fan
N11119,EMBRAER,2003-01-08,EMB-145XR,1,Fixed Wing Multi-Engine,Turbo-Fan
