UniqueCarrier,FlightNum,Departure_Time,Arrival_Time,Total_Delay,TailNum,Cancelled,Origin,Dest,Distance,DayOfWeek,Delay_ID
OH,5456,2008-01-02 17:35:00,2008-01-02 20:12:00,0,N693CA,0,MCI,CVG,539,3,0
OH,5176,2008-01-08 16:28:00,2008-01-08 19:14:00,0,N378CA,0,MIA,CVG,948,2,0
OH,5086,2008-01-14 09:30:00,2008-01-14 12:06:00,0,N676CA,0,FLL,CVG,932,1,0
OH,5243,2008-01-16 09:35:00,2008-01-16 10:05:00,0,N591SW,0,CVG,BHM,396,3,0
OH,5228,2008-01-18 16:09:00,2008-01-18 19:00:00,0,N689CA,0,MIA,CVG,948,5,0
OH,5250,2008-01-18 18:33:00,2008-01-18 20:09:00,0,N693CA,0,RDU,CVG,390,5,0
OH,4970,2008-01-19 16:15:00,2008-01-19 18:48:00,0,N811CA,0,BHM,CVG,396,6,0
OH,5414,2008-01-20 18:50:00,2008-01-20 20:24:00,0,N590SW,0,BWI,BOS,370,7,0
OH,5593,2008-01-21 17:45:00,2008-01-21 20:00:00,0,N695CA,0,PHL,CVG,507,1,0
OH,5155,2008-01-23 17:37:00,2008-01-23 19:59:00,0,N523CA,0,ATW,CVG,411,3,0
OO,3703,2008-01-05 10:05:00,2008-01-05 11:14:00,0,N236SW,0,SLC,TWF,175,6,0
OO,4007,2008-01-06 19:40:00,2008-01-06 23:25:00,0,N668CA,0,SLC,SAT,1086,7,0
OO,5434,2008-01-14 11:15:00,2008-01-14 12:11:00,0,N251YV,0,LAX,IYK,123,1,0
OO,5718,2008-01-16 13:36:00,2008-01-16 14:18:00,0,N293SW,0,SFO,MOD,78,3,0
OO,5718,2008-01-17 13:36:00,2008-01-17 14:18:00,0,N582SW,0,SFO,MOD,78,4,0
OO,5799,2008-01-17 10:35:00,2008-01-17 11:40:00,0,N564SW,0,PDX,MFR,222,4,0
OO,5790,2008-01-26 16:30:00,2008-01-26 17:24:00,0,N290SW,0,SFO,CIC,153,6,0
OO,4028,2008-01-28 14:05:00,2008-01-28 16:15:00,0,N340CA,0,LIT,SLC,1156,1,0
OO,4053,2008-01-30 08:25:00,2008-01-30 09:36:00,0,N368CA,0,SLC,SEA,689,3,0
OO,5737,2008-01-31 10:25:00,2008-01-31 11:23:00,0,N217SW,0,SFO,CIC,153,4,0
EV,4215,2008-01-20 10:54:00,2008-01-20 12:20:00,0,N970EV,0,ATL,ICT,781,7,0
EV,4277,2008-01-19 21:42:00,2008-01-19 22:20:00,0,N970EV,0,ATL,BTR,449,6,0
EV,4321,2008-01-02 06:35:00,2008-01-02 08:11:00,0,N970EV,0,CAE,CVG,404,3,0
EV,4329,2008-01-21 13:05:00,2008-01-21 14:29:00,0,N885AS,0,ATL,ILM,377,1,0
EV,4359,2008-01-08 20:50:00,2008-01-08 22:04:00,0,N909EV,0,ATL,MSN,707,2,0
EV,4487,2008-01-21 18:20:00,2008-01-21 18:56:00,0,N354CA,0,ATL,BTR,449,1,0
EV,4594,2008-01-03 08:20:00,2008-01-03 10:47:00,0,N834AS,0,BTR,ATL,449,4,0
EV,4665,2008-01-28 09:10:00,2008-01-28 09:33:00,0,N684BR,0,ATL,MOB,302,1,0
EV,4771,2008-01-29 09:35:00,2008-01-29 11:30:00,0,N919EV,0,PHF,ATL,508,2,0
EV,4822,2008-01-10 12:26:00,2008-01-10 13:45:00,0,N885AS,0,GNV,ATL,300,4,0
EV,4881,2008-01-08 16:50:00,2008-01-08 17:46:00,0,N860AS,0,ATL,SHV,552,2,0
F9,868,2008-01-19 07:00:00,2008-01-19 08:43:00,0,N926FR,0,PHX,DEN,602,6,0
AS,162,2008-01-07 20:35:00,2008-01-07 00:15:00,0,N589AS,0,SEA,PHX,1107,1,0
B6,186,2008-01-12 21:20:00,2008-01-12 05:19:00,0,N570JB,0,SAN,JFK,2446,6,0
